Hardware Time,Global Time\Signal,CAN1.Diag703.Diag703_Resp_0,CAN1.Diag703.Diag703_Resp_1,CAN1.Diag703.Diag703_Resp_2,CAN1.Diag703.Diag703_Resp_3,CAN1.Diag703.Diag703_Resp_4,CAN1.Diag703.Diag703_Resp_5,CAN1.Diag703.Diag703_Resp_6,CAN1.Diag703.Diag703_Resp_7,Raw Data
363.243977,2021-05-21 22:03:03.243,16,76,113,0,0,65,13,0,CAN=363.243977 Rx 0 $703 D 8 10 4C 71 00 00 41 0D 00 
363.244991,2021-05-21 22:03:03.244,33,0,0,9,0,0,0,25,CAN=363.244991 Rx 0 $703 D 8 21 00 00 09 00 00 00 19 
363.295068,2021-05-21 22:03:03.295,34,0,0,0,15,49,0,0,CAN=363.295068 Rx 0 $703 D 8 22 00 00 00 0F 31 00 00 
363.346057,2021-05-21 22:03:03.346,35,18,49,0,0,16,49,0,CAN=363.346057 Rx 0 $703 D 8 23 12 31 00 00 10 31 00 
363.39706,2021-05-21 22:03:03.397,36,0,228,48,0,0,237,48,CAN=363.39706 Rx 0 $703 D 8 24 00 E4 30 00 00 ED 30 
363.448055,2021-05-21 22:03:03.448,37,0,0,233,48,0,0,25,CAN=363.448055 Rx 0 $703 D 8 25 00 00 E9 30 00 00 19 
363.499055,2021-05-21 22:03:03.499,38,0,0,0,25,0,0,0,CAN=363.499055 Rx 0 $703 D 8 26 00 00 00 19 00 00 00 
363.550049,2021-05-21 22:03:03.550,39,25,0,0,0,152,5,0,CAN=363.550049 Rx 0 $703 D 8 27 19 00 00 00 98 05 00 
363.601045,2021-05-21 22:03:03.601,40,0,150,5,0,0,150,5,CAN=363.601045 Rx 0 $703 D 8 28 00 96 05 00 00 96 05 
363.652042,2021-05-21 22:03:03.652,41,0,0,25,0,0,0,25,CAN=363.652042 Rx 0 $703 D 8 29 00 00 19 00 00 00 19 
363.703043,2021-05-21 22:03:03.703,42,0,0,0,25,0,0,0,CAN=363.703043 Rx 0 $703 D 8 2A 00 00 00 19 00 00 00 
363.808733,2021-05-21 22:03:03.808,16,76,113,0,0,65,13,0,CAN=363.808733 Rx 0 $703 D 8 10 4C 71 00 00 41 0D 00 
363.810096,2021-05-21 22:03:03.810,33,0,0,9,0,0,0,25,CAN=363.810096 Rx 0 $703 D 8 21 00 00 09 00 00 00 19 
363.861028,2021-05-21 22:03:03.861,34,0,0,0,15,49,0,0,CAN=363.861028 Rx 0 $703 D 8 22 00 00 00 0F 31 00 00 
363.912019,2021-05-21 22:03:03.912,35,18,49,0,0,16,49,0,CAN=363.912019 Rx 0 $703 D 8 23 12 31 00 00 10 31 00 
363.963022,2021-05-21 22:03:03.963,36,0,228,48,0,0,237,48,CAN=363.963022 Rx 0 $703 D 8 24 00 E4 30 00 00 ED 30 
364.014017,2021-05-21 22:03:04.014,37,0,0,233,48,0,0,25,CAN=364.014017 Rx 0 $703 D 8 25 00 00 E9 30 00 00 19 
364.065018,2021-05-21 22:03:04.065,38,0,0,0,25,0,0,0,CAN=364.065018 Rx 0 $703 D 8 26 00 00 00 19 00 00 00 
364.116011,2021-05-21 22:03:04.116,39,25,0,0,0,152,5,0,CAN=364.116011 Rx 0 $703 D 8 27 19 00 00 00 98 05 00 
364.167006,2021-05-21 22:03:04.167,40,0,150,5,0,0,150,5,CAN=364.167006 Rx 0 $703 D 8 28 00 96 05 00 00 96 05 
364.218004,2021-05-21 22:03:04.218,41,0,0,25,0,0,0,25,CAN=364.218004 Rx 0 $703 D 8 29 00 00 19 00 00 00 19 
364.269005,2021-05-21 22:03:04.269,42,0,0,0,25,0,0,0,CAN=364.269005 Rx 0 $703 D 8 2A 00 00 00 19 00 00 00 
364.373898,2021-05-21 22:03:04.373,16,76,113,0,0,65,13,0,CAN=364.373898 Rx 0 $703 D 8 10 4C 71 00 00 41 0D 00 
364.375446,2021-05-21 22:03:04.375,33,0,0,9,0,0,0,25,CAN=364.375446 Rx 0 $703 D 8 21 00 00 09 00 00 00 19 
364.425991,2021-05-21 22:03:04.425,34,0,0,0,14,49,0,0,CAN=364.425991 Rx 0 $703 D 8 22 00 00 00 0E 31 00 00 
364.476984,2021-05-21 22:03:04.476,35,15,49,0,0,18,49,0,CAN=364.476984 Rx 0 $703 D 8 23 0F 31 00 00 12 31 00 
364.527987,2021-05-21 22:03:04.527,36,0,231,48,0,0,232,48,CAN=364.527987 Rx 0 $703 D 8 24 00 E7 30 00 00 E8 30 
364.578979,2021-05-21 22:03:04.578,37,0,0,230,48,0,0,25,CAN=364.578979 Rx 0 $703 D 8 25 00 00 E6 30 00 00 19 
364.629979,2021-05-21 22:03:04.629,38,0,0,0,25,0,0,0,CAN=364.629979 Rx 0 $703 D 8 26 00 00 00 19 00 00 00 
364.680971,2021-05-21 22:03:04.680,39,25,0,0,0,151,5,0,CAN=364.680971 Rx 0 $703 D 8 27 19 00 00 00 97 05 00 
364.731968,2021-05-21 22:03:04.731,40,0,150,5,0,0,150,5,CAN=364.731968 Rx 0 $703 D 8 28 00 96 05 00 00 96 05 
364.782967,2021-05-21 22:03:04.782,41,0,0,25,0,0,0,25,CAN=364.782967 Rx 0 $703 D 8 29 00 00 19 00 00 00 19 
364.833966,2021-05-21 22:03:04.833,42,0,0,0,25,0,0,0,CAN=364.833966 Rx 0 $703 D 8 2A 00 00 00 19 00 00 00 
364.938657,2021-05-21 22:03:04.938,16,76,113,0,0,65,13,0,CAN=364.938657 Rx 0 $703 D 8 10 4C 71 00 00 41 0D 00 
364.939809,2021-05-21 22:03:04.939,33,0,0,9,0,0,0,25,CAN=364.939809 Rx 0 $703 D 8 21 00 00 09 00 00 00 19 
